ASV,Taxon,Confidence,LowestTaxonomy,Kingdom,Phylum,Class,Order,Family,Genus,HexColor,ColorOrder
88727997da6018cb5fb460c783348058,d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Peptostreptococcales-Tissierellales; g__Anaerococcus,0.999853301832522,g__Anaerococcus,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcales-Tissierellales,Anaerococcus,#BEA89A,76
889bf81a59c3a38eaceeff3502d258ed,d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Peptostreptococcales-Tissierellales; g__W5053; s__uncultured_Clostridia,0.977942389306512,s__uncultured_Clostridia,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcales-Tissierellales,W5053,#BEA89A,76
890392ba03b21428e74dceff32810166,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Massilia,0.996344130047538,g__Massilia,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,#EE2C2C,97
891ec9735b735c75828d349bd39f8951,d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Beutenbergiaceae,0.994692216249612,f__Beutenbergiaceae,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Beutenbergiaceae,<not present>,#D0D0D0,118
895446f7835d152b6ceaee4ce84b5335,d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridia_vadinBB60_group; f__Clostridia_vadinBB60_group; g__Clostridia_vadinBB60_group; s__uncultured_bacterium,0.809768324351908,s__uncultured_bacterium,Bacteria,Firmicutes,Clostridia,Clostridia_vadinBB60_group,Clostridia_vadinBB60_group,Clostridia_vadinBB60_group,#BEA89A,76
897c54fa4743da77c88a4347a6d60056,d__Bacteria; p__Fusobacteriota; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium,0.99999956866432,g__Fusobacterium,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,#D0D0D0,118
898c02840505e7cb289336ec2e56a948,d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Peptostreptococcaceae; g__Paraclostridium,0.990333775235924,g__Paraclostridium,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Paraclostridium,#BEA89A,76
89c16a2ede9a268eeff2c2e4ce677ed0,d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae,0.999942880456505,f__Lachnospiraceae,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,<not present>,#BEA89A,76
89c6735d84a62f1fc6dc4c886175e453,d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Lachnospiraceae_NK4A136_group,0.950394728560775,g__Lachnospiraceae_NK4A136_group,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae_NK4A136_group,#BEA89A,76
89e46f710abd65ad7394987da60c53b8,d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium_sensu_stricto_15,0.931140328743093,g__Clostridium_sensu_stricto_15,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_15,#BEA89A,76
89fb9b56e89183597ba466569f9fbdb9,d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Marinococcaceae; g__Natribacillus; s__uncultured_bacterium,0.981979811517043,s__uncultured_bacterium,Bacteria,Firmicutes,Bacilli,Bacillales,Marinococcaceae,Natribacillus,#5875DE,55
8a71ec3755cb5bb801ed0b4e4f59a5b1,d__Bacteria; p__Firmicutes; c__Bacilli; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Dubosiella; s__Dubosiella_newyorkensis,0.850697896968667,s__Dubosiella_newyorkensis,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Dubosiella,#5875DE,55
